row_index,prediction,ground_truth,source,batch_id,raw_output,model_name,prompt_style,batch_size,batch_col_size,n_examples_requested,run_timestamp_utc,leakage_guard_enabled,reference_source
370,679.8000000000001,690.25,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
373,5586.0,5608.4,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
384,5188.799999999999,5067.45,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
393,378.09999999999997,367.55,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
398,1801.8,1803.7,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
399,461.15000000000003,415.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
411,1124.7,1066.15,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
416,6909.0,6858.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
417,992.0,1024.7,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
436,750.6,720.05,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
454,1488.3999999999999,1417.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
467,6458.400000000001,6588.95,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
476,2661.75,2747.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
481,2174.3999999999996,2145.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
488,0.0,,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
518,2030.4,1929.35,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
568,3508.75,3527.6,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
589,6418.400000000001,6668.05,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
599,1326.0,1414.45,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
602,4900.5,4859.25,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
603,4997.900000000001,4903.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
620,345.5,362.6,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
634,2182.0,2236.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
636,3082.9500000000003,3109.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
643,4402.65,4287.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
667,1479.8,1453.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
669,4046.0,4039.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
673,546.7,493.4,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
683,4150.0,4188.4,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
705,1996.2499999999998,2015.35,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
714,1828.8,1710.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
719,5463.799999999999,5589.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
721,1253.55,1305.95,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
734,2434.05,2423.4,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
743,1470.1000000000001,1551.6,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
745,7977.599999999999,7882.25,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
749,5673.15,5817.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
751,5610.5,5600.15,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
753,0.0,,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
763,4813.2,4758.8,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
769,1101.6,1175.6,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
775,7966.8,8065.65,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
776,120.89999999999999,92.5,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
786,3981.6,3983.6,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
790,3591.0,3590.2,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
791,5229.200000000001,5023.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
808,4052.0,4113.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
811,7280.0,7250.15,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
818,2335.2000000000003,2317.1,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
820,6487.349999999999,6751.35,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
828,5457.0,5453.4,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
833,3285.6,3340.55,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
836,4426.8,4487.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
841,7560.0,7589.8,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
845,308.25,295.95,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
856,6195.599999999999,6309.65,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
861,5977.6,5822.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
870,7070.400000000001,7015.9,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
876,1576.5,1582.75,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
897,5594.15,5682.25,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
911,1335.0,1288.3,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
918,2098.2000000000003,2193.0,fallback_tenure_x_monthlycharges,,,mistralai/Mistral-7B-Instruct-v0.3,BatchImputation,40,10,100,2026-04-20T11:59:46.114309+00:00,True,df_missing_observed_rows_background_only
